Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class ,	Data type
e65c0cb4-0da5-414d-8698-d7bc8ecb064d,,Registration,Registration,Registration,Misc,N/A
979638e1-99cc-43a3-9410-8900626f479d,,Refraction Service,Refraction Service,Refraction Service,Misc,N/A
fb917c2d-b770-4f80-82b6-f78f386397a5,,Eye Exam,Eye Exam,Eye Exam,Misc,N/A
d970478a-40f5-48db-b6a8-a36c66a52d45,,Therapy,	Therapy,	Therapy,Misc,N/A
4b64d18b-d8d1-4325-972e-ba7552049366,,Pre-Surgery,Pre-Surgery,Pre-Surgery,Misc,N/A
87593930-fb12-4300-ae4b-21e7abd913d7,,Surgery,Surgery,Surgery,Misc,N/A
b1a6d6b0-0001-4bda-9f6a-000000000000,,Service,Service,Service,ConvSet,N/A
